#---------------------------------
#  r  chir_mag  k  chi
  0.00000000000    0.00062885182    0.00000000000   -0.38958019361
  0.03067961576    0.00130026089    0.05000000000   -0.34298077831
  0.06135923152    0.00214041863    0.10000000000   -0.29368993686
  0.09203884727    0.00261913148    0.15000000000   -0.24289013814
  0.12271846303    0.00261598199    0.20000000000   -0.19176385101
  0.15339807879    0.00217450673    0.25000000000   -0.14149354436
  0.18407769455    0.00157238185    0.30000000000   -0.09326168706
  0.21475731030    0.00149217544    0.35000000000   -0.04825074799
  0.24543692606    0.00212524932    0.40000000000   -0.00764319603
  0.27611654182    0.00276859367    0.45000000000    0.02737849996
  0.30679615758    0.00300948423    0.50000000000    0.05563187109
  0.33747577333    0.00271138510    0.55000000000    0.07629808872
  0.36815538909    0.00195581464    0.60000000000    0.09004774653
  0.39883500485    0.00124866320    0.65000000000    0.09785980022
  0.42951462061    0.00170635712    0.70000000000    0.09940595017
  0.46019423637    0.00270144616    0.75000000000    0.09343299808
  0.49087385212    0.00336459068    0.80000000000    0.08085644217
  0.52155346788    0.00338786546    0.85000000000    0.06358010815
  0.55223308364    0.00271400922    0.90000000000    0.04229157288
  0.58291269940    0.00158733443    0.95000000000    0.01858793828
  0.61359231515    0.00131978894    1.00000000000   -0.00383665703
  0.64427193091    0.00261376653    1.05000000000   -0.02015114221
  0.67495154667    0.00379699163    1.10000000000   -0.03331430325
  0.70563116243    0.00427350326    1.15000000000   -0.04353620149
  0.73631077819    0.00382899341    1.20000000000   -0.04846344384
  0.76699039394    0.00252768202    1.25000000000   -0.05213349608
  0.79767000970    0.00112538612    1.30000000000   -0.06046464150
  0.82834962546    0.00238740268    1.35000000000   -0.07157647942
  0.85902924122    0.00428500859    1.40000000000   -0.07446438357
  0.88970885697    0.00547371587    1.45000000000   -0.07797919765
  0.92038847273    0.00552002891    1.50000000000   -0.07695917418
  0.95106808849    0.00429707877    1.55000000000   -0.06837183998
  0.98174770425    0.00208022899    1.60000000000   -0.04169177270
  1.01242732000    0.00178598824    1.65000000000   -0.02051525688
  1.04310693576    0.00470264529    1.70000000000    0.01872895924
  1.07378655152    0.00720946522    1.75000000000    0.04195399292
  1.10446616728    0.00848751693    1.80000000000    0.07040599614
  1.13514578304    0.00809200014    1.85000000000    0.10869188535
  1.16582539879    0.00590770826    1.90000000000    0.12028242369
  1.19650501455    0.00250568603    1.95000000000    0.11561878857
  1.22718463031    0.00437876721    2.00000000000    0.08815890069
  1.25786424607    0.01061061688    2.05000000000    0.04948260801
  1.28854386182    0.01790516524    2.10000000000    0.00964624813
  1.31922347758    0.02621783073    2.15000000000   -0.02900322317
  1.34990309334    0.03610969849    2.20000000000   -0.05402576169
  1.38058270910    0.04864141161    2.25000000000   -0.06734888570
  1.41126232485    0.06519949525    2.30000000000   -0.06227207143
  1.44194194061    0.08715351797    2.35000000000   -0.03267571579
  1.47262155637    0.11542452532    2.40000000000    0.00214081251
  1.50330117213    0.15009990725    2.45000000000    0.04128911315
  1.53398078789    0.19021611154    2.50000000000    0.06337024394
  1.56466040364    0.23381601198    2.55000000000    0.05209836588
  1.59534001940    0.27838335443    2.60000000000    0.02687859005
  1.62601963516    0.32172478580    2.65000000000    0.00063620853
  1.65669925092    0.36326377624    2.70000000000   -0.02743202969
  1.68737886667    0.40544451152    2.75000000000   -0.04827204204
  1.71805848243    0.45443663856    2.80000000000   -0.06442675437
  1.74873809819    0.51895594503    2.85000000000   -0.07853268003
  1.77941771395    0.60706939785    2.90000000000   -0.08316791142
  1.81009732971    0.72344211852    2.95000000000   -0.07565992220
  1.84077694546    0.86987874395    3.00000000000   -0.06516271854
  1.87145656122    1.04880337657    3.05000000000   -0.05071521303
  1.90213617698    1.26695798884    3.10000000000   -0.03575477764
  1.93281579274    1.53672879941    3.15000000000   -0.01179303891
  1.96349540849    1.87365150153    3.20000000000    0.01269758412
  1.99417502425    2.29070285508    3.25000000000    0.03112621823
  2.02485464001    2.79213875253    3.30000000000    0.05590283053
  2.05553425577    3.36968107467    3.35000000000    0.08059077962
  2.08621387152    4.00190389581    3.40000000000    0.09934277061
  2.11689348728    4.65609845917    3.45000000000    0.11271744749
  2.14757310304    5.29165228366    3.50000000000    0.11175251265
  2.17825271880    5.86428317283    3.55000000000    0.09455191061
  2.20893233456    6.33066466453    3.60000000000    0.06558215110
  2.23961195031    6.65299966732    3.65000000000    0.03581579101
  2.27029156607    6.80307389413    3.70000000000    0.00245237116
  2.30097118183    6.76534023259    3.75000000000   -0.02197763566
  2.33165079759    6.53867654086    3.80000000000   -0.03965764732
  2.36233041334    6.13661414660    3.85000000000   -0.05182508680
  2.39301002910    5.58602815385    3.90000000000   -0.05564239251
  2.42368964486    4.92448330515    3.95000000000   -0.05269144699
  2.45436926062    4.19661102352    4.00000000000   -0.04478734765
  2.48504887637    3.45003012988    4.05000000000   -0.03947599119
  2.51572849213    2.73139635235    4.10000000000   -0.04162969303
  2.54640810789    2.08313534158    4.15000000000   -0.04877326427
  2.57708772365    1.54109068186    4.20000000000   -0.05264522866
  2.60776733941    1.13192290038    4.25000000000   -0.04702228234
  2.63844695516    0.86550298339    4.30000000000   -0.03445013180
  2.66912657092    0.71953491027    4.35000000000   -0.02557883452
  2.69980618668    0.63989291201    4.40000000000   -0.02541535188
  2.73048580244    0.57464524499    4.45000000000   -0.02651676392
  2.76116541819    0.49836130758    4.50000000000   -0.02071880797
  2.79184503395    0.40798745769    4.55000000000   -0.00729229366
  2.82252464971    0.31173054144    4.60000000000    0.00783574871
